Cohord data for 2010-2011
CDS|Name|NumGraduates|NumDropouts
CDS	Name	NumGraduates	NumDropouts
00000000000000	Statewide	474	487
00000000000000	Statewide	494	332
00000000000000	Statewide	968	819
00000000000000	Statewide	1211	361
00000000000000	Statewide	1300	233
00000000000000	Statewide	1308	494
00000000000000	Statewide	1437	363
00000000000000	Statewide	2511	594
00000000000000	Statewide	2518	428
00000000000000	Statewide	2745	857
00000000000000	Statewide	2894	305
00000000000000	Statewide	5412	733
00000000000000	Statewide	6126	336
00000000000000	Statewide	6259	545
00000000000000	Statewide	9887	2361
00000000000000	Statewide	11922	6064
00000000000000	Statewide	12385	881
00000000000000	Statewide	13752	4291
00000000000000	Statewide	20086	1025
00000000000000	Statewide	20454	1671
00000000000000	Statewide	25674	10355
00000000000000	Statewide	34655	11056
00000000000000	Statewide	40540	2696
00000000000000	Statewide	63007	8129
00000000000000	Statewide	63736	5075
00000000000000	Statewide	66438	26789
00000000000000	Statewide	81084	26066
00000000000000	Statewide	90174	17896
00000000000000	Statewide	126743	13204
00000000000000	Statewide	171258	43962
00000000000000	Statewide	188237	44245
00000000000000	Statewide	199999	29856
00000000000000	Statewide	224707	57366
00000000000000	Statewide	388236	74101
01000000000000	Alameda	27	14
01000000000000	Alameda	36	42
01000000000000	Alameda	44	24
01000000000000	Alameda	55	24
01000000000000	Alameda	80	66
01000000000000	Alameda	95	33
01000000000000	Alameda	111	19
01000000000000	Alameda	112	26
01000000000000	Alameda	142	38
01000000000000	Alameda	206	52
01000000000000	Alameda	254	34
01000000000000	Alameda	379	33
01000000000000	Alameda	405	42
01000000000000	Alameda	784	75
01000000000000	Alameda	806	446
01000000000000	Alameda	952	351
01000000000000	Alameda	1359	430
01000000000000	Alameda	1464	581
01000000000000	Alameda	1531	74
01000000000000	Alameda	1594	138
01000000000000	Alameda	1748	412
01000000000000	Alameda	1758	797
01000000000000	Alameda	1865	180
01000000000000	Alameda	1877	788
01000000000000	Alameda	1914	134
01000000000000	Alameda	3125	212
01000000000000	Alameda	3212	993
01000000000000	Alameda	3779	314
01000000000000	Alameda	5992	1960
01000000000000	Alameda	6404	1502
01000000000000	Alameda	6849	1065
01000000000000	Alameda	13253	2567
01100170000000	Alameda County Office of Education	27	14
01100170000000	Alameda County Office of Education	36	42
01100170000000	Alameda County Office of Education	44	24
01100170000000	Alameda County Office of Education	55	24
01100170000000	Alameda County Office of Education	80	66
01100170000000	Alameda County Office of Education	95	33
01100170000000	Alameda County Office of Education	111	19
01100170000000	Alameda County Office of Education	112	26
01100170000000	Alameda County Office of Education	142	38
01100170000000	Alameda County Office of Education	206	52
01100170000000	Alameda County Office of Education	254	34
01100170000000	Alameda County Office of Education	379	33
01100170000000	Alameda County Office of Education	405	42
01100170000000	Alameda County Office of Education	784	75
01100170000000	Alameda County Office of Education	806	446
01100170000000	Alameda County Office of Education	952	351
01100170000000	Alameda County Office of Education	1359	430
01100170000000	Alameda County Office of Education	1464	581
01100170000000	Alameda County Office of Education	1531	74
01100170000000	Alameda County Office of Education	1594	138
01100170000000	Alameda County Office of Education	1748	412
01100170000000	Alameda County Office of Education	1758	797
01100170000000	Alameda County Office of Education	1865	180
01100170000000	Alameda County Office of Education	1877	788
01100170000000	Alameda County Office of Education	1914	134
01100170000000	Alameda County Office of Education	3125	212
01100170000000	Alameda County Office of Education	3212	993
01100170000000	Alameda County Office of Education	3779	314
01100170000000	Alameda County Office of Education	5992	1960
01100170000000	Alameda County Office of Education	6404	1502
01100170000000	Alameda County Office of Education	6849	1065
01100170000000	Alameda County Office of Education	13253	2567
01100170109835	FAME Public Charter	54	15
01100170109835	FAME Public Charter	54	15
01100170112607	Envision Academy for Arts & Technology	31	12
01100170112607	Envision Academy for Arts & Technology	31	12
01100170130401	Alameda County Juvenile Hall/Court	27	14
01100170130401	Alameda County Juvenile Hall/Court	36	42
01100170130401	Alameda County Juvenile Hall/Court	44	24
01100170130401	Alameda County Juvenile Hall/Court	55	24
01100170130401	Alameda County Juvenile Hall/Court	80	66
01100170130401	Alameda County Juvenile Hall/Court	95	33
01100170130401	Alameda County Juvenile Hall/Court	111	19
01100170130401	Alameda County Juvenile Hall/Court	112	26
01100170130401	Alameda County Juvenile Hall/Court	142	38
01100170130401	Alameda County Juvenile Hall/Court	206	52
01100170130401	Alameda County Juvenile Hall/Court	254	34
01100170130401	Alameda County Juvenile Hall/Court	379	33
01100170130401	Alameda County Juvenile Hall/Court	405	42
01100170130401	Alameda County Juvenile Hall/Court	784	75
01100170130401	Alameda County Juvenile Hall/Court	806	446
01100170130401	Alameda County Juvenile Hall/Court	952	351
01100170130401	Alameda County Juvenile Hall/Court	1359	430
01100170130401	Alameda County Juvenile Hall/Court	1464	581
01100170130401	Alameda County Juvenile Hall/Court	1531	74
01100170130401	Alameda County Juvenile Hall/Court	1594	138
01100170130401	Alameda County Juvenile Hall/Court	1748	412
01100170130401	Alameda County Juvenile Hall/Court	1758	797
01100170130401	Alameda County Juvenile Hall/Court	1865	180
01100170130401	Alameda County Juvenile Hall/Court	1877	788
01100170130401	Alameda County Juvenile Hall/Court	1914	134
01100170130401	Alameda County Juvenile Hall/Court	3125	212
01100170130401	Alameda County Juvenile Hall/Court	3212	993
01100170130401	Alameda County Juvenile Hall/Court	3779	314
01100170130401	Alameda County Juvenile Hall/Court	5992	1960
01100170130401	Alameda County Juvenile Hall/Court	6404	1502
01100170130401	Alameda County Juvenile Hall/Court	6849	1065
01100170130401	Alameda County Juvenile Hall/Court	13253	2567
01100170130419	Alameda County Community	27	14
01100170130419	Alameda County Community	36	42
01100170130419	Alameda County Community	44	24
01100170130419	Alameda County Community	55	24
01100170130419	Alameda County Community	80	66
01100170130419	Alameda County Community	95	33
01100170130419	Alameda County Community	111	19
01100170130419	Alameda County Community	112	26
01100170130419	Alameda County Community	142	38
01100170130419	Alameda County Community	206	52
01100170130419	Alameda County Community	254	34
01100170130419	Alameda County Community	379	33
01100170130419	Alameda County Community	405	42
01100170130419	Alameda County Community	784	75
01100170130419	Alameda County Community	806	446
01100170130419	Alameda County Community	952	351
01100170130419	Alameda County Community	1359	430
01100170130419	Alameda County Community	1464	581
01100170130419	Alameda County Community	1531	74
01100170130419	Alameda County Community	1594	138
01100170130419	Alameda County Community	1748	412
01100170130419	Alameda County Community	1758	797
01100170130419	Alameda County Community	1865	180
01100170130419	Alameda County Community	1877	788
01100170130419	Alameda County Community	1914	134
01100170130419	Alameda County Community	3125	212
01100170130419	Alameda County Community	3212	993
01100170130419	Alameda County Community	3779	314
01100170130419	Alameda County Community	5992	1960
01100170130419	Alameda County Community	6404	1502
01100170130419	Alameda County Community	6849	1065
01100170130419	Alameda County Community	13253	2567
01100170130427	Alameda County Opportunity	27	14
01100170130427	Alameda County Opportunity	36	42
01100170130427	Alameda County Opportunity	44	24
01100170130427	Alameda County Opportunity	55	24
01100170130427	Alameda County Opportunity	80	66
01100170130427	Alameda County Opportunity	95	33
01100170130427	Alameda County Opportunity	111	19
01100170130427	Alameda County Opportunity	112	26
01100170130427	Alameda County Opportunity	142	38
01100170130427	Alameda County Opportunity	206	52
01100170130427	Alameda County Opportunity	254	34
01100170130427	Alameda County Opportunity	379	33
01100170130427	Alameda County Opportunity	405	42
01100170130427	Alameda County Opportunity	784	75
01100170130427	Alameda County Opportunity	806	446
01100170130427	Alameda County Opportunity	952	351
01100170130427	Alameda County Opportunity	1359	430
01100170130427	Alameda County Opportunity	1464	581
01100170130427	Alameda County Opportunity	1531	74
01100170130427	Alameda County Opportunity	1594	138
01100170130427	Alameda County Opportunity	1748	412
01100170130427	Alameda County Opportunity	1758	797
01100170130427	Alameda County Opportunity	1865	180
01100170130427	Alameda County Opportunity	1877	788
01100170130427	Alameda County Opportunity	1914	134
01100170130427	Alameda County Opportunity	3125	212
01100170130427	Alameda County Opportunity	3212	993
01100170130427	Alameda County Opportunity	3779	314
01100170130427	Alameda County Opportunity	5992	1960
01100170130427	Alameda County Opportunity	6404	1502
01100170130427	Alameda County Opportunity	6849	1065
01100170130427	Alameda County Opportunity	13253	2567
01316090000000	California School for the Blind (State Special Schl)	27	14
01316090000000	California School for the Blind (State Special Schl)	36	42
01316090000000	California School for the Blind (State Special Schl)	44	24
01316090000000	California School for the Blind (State Special Schl)	55	24
01316090000000	California School for the Blind (State Special Schl)	80	66
01316090000000	California School for the Blind (State Special Schl)	95	33
01316090000000	California School for the Blind (State Special Schl)	111	19
01316090000000	California School for the Blind (State Special Schl)	112	26
01316090000000	California School for the Blind (State Special Schl)	142	38
01316090000000	California School for the Blind (State Special Schl)	206	52
01316090000000	California School for the Blind (State Special Schl)	254	34
01316090000000	California School for the Blind (State Special Schl)	379	33
01316090000000	California School for the Blind (State Special Schl)	405	42
01316090000000	California School for the Blind (State Special Schl)	784	75
01316090000000	California School for the Blind (State Special Schl)	806	446
01316090000000	California School for the Blind (State Special Schl)	952	351
01316090000000	California School for the Blind (State Special Schl)	1359	430
01316090000000	California School for the Blind (State Special Schl)	1464	581
01316090000000	California School for the Blind (State Special Schl)	1531	74
01316090000000	California School for the Blind (State Special Schl)	1594	138
01316090000000	California School for the Blind (State Special Schl)	1748	412
01316090000000	California School for the Blind (State Special Schl)	1758	797
01316090000000	California School for the Blind (State Special Schl)	1865	180
01316090000000	California School for the Blind (State Special Schl)	1877	788
01316090000000	California School for the Blind (State Special Schl)	1914	134
01316090000000	California School for the Blind (State Special Schl)	3125	212
01316090000000	California School for the Blind (State Special Schl)	3212	993
01316090000000	California School for the Blind (State Special Schl)	3779	314
01316090000000	California School for the Blind (State Special Schl)	5992	1960
01316090000000	California School for the Blind (State Special Schl)	6404	1502
01316090000000	California School for the Blind (State Special Schl)	6849	1065
01316090000000	California School for the Blind (State Special Schl)	13253	2567
01316090131755	California School for the Blind	27	14
01316090131755	California School for the Blind	36	42
