Cohord data for 2012-2013
CDS|Name|NumGraduates|NumDropouts
CDS	Name	NumGraduates	NumDropouts
19734371931567	Centennial High	62	20
48705734830089	Will C. Wood High	107	12
37681303732625	Grossmont High	138	13
37681303734761	Mount Miguel High	37	12
19734521936228	Nogales High	192	20
48705814838504	Vallejo High	56	24
48705814838504	Vallejo High	46	14
37680490119990	Diego Hills Charter	19	54
30665223033933	Los Amigos High	163	23
37681063732062	Escondido High	169	16
10751271030493	Mendota High	64	11
37681303734761	Mount Miguel High	67	25
37681303731692	El Cajon Valley High	72	29
19734371932326	Dominguez High	170	38
19752911996016	Options for Youth San Gabriel	44	32
30665223036555	Santiago High	215	17
30665223035706	Rancho Alamitos High	100	14
13630991332204	Calexico High	240	40
13631151333004	Central Union High	163	12
30666703030491	Century High	198	21
30666703035821	Saddleback High	173	18
30666703036456	Valley High	191	26
30666703036357	Santa Ana High	313	33
37683383730231	Twain High	36	13
37683383730959	Charter School of San Diego	87	11
37683380114025	Lincoln High	88	12
13631151330133	Southwest High	153	14
15635290100198	Golden Valley High	207	21
15635290116400	Mira Monte High	166	34
15635291530435	Kern Workforce 2000 Academy	31	42
15635291532290	East Bakersfield High	154	38
15635291535392	South High	112	22
50710685030267	Denair Charter Academy	17	11
15635291530252	Arvin High	166	51
31669283130119	Independence High (Alternative)	23	15
15635290125062	Tierra Del Sol Continuation High	31	29
15635291530344	Stockdale High	70	12
15635291530369	Centennial High	104	12
15635291530385	Ridgeview High	127	14
15635291536606	West High	121	17
37683383737962	Garfield High	32	18
37684113731064	Chula Vista Senior High	246	18
37684110000000	District Office	21	25
37684036120893	California Virtual Academy @ San Diego	58	16
37684113730124	Southwest Senior High	156	27
15635291535087	Shafter High	114	17
37684113731304	MAAC Community Charter	14	16
37684520115451	Major General Raymond Murray High	16	12
31669510122507	Partnerships for Student-Centered Learning	50	12
33669773334299	Norte Vista High	226	19
50711755034905	Modesto High	153	14
37684520106120	SIATech	14	21
37684520106120	SIATech	41	68
15638591536440	Wasco High	132	11
15635291530708	Bakersfield High	133	44
15635291530708	Bakersfield High	66	17
37684113738234	Montgomery Senior High	133	13
